segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,5240,5240,5400,5496,5488,5584
0,1,5240,5240,5400,5496,5488,5584
0,2,5240,5240,5400,5496,5488,5584
0,3,5240,5240,5400,5496,5488,5584
0,4,5240,5240,5400,5496,5488,5584
0,5,5240,5240,5400,5496,5488,5584
0,6,5240,5240,5400,5496,5488,5584
0,7,5240,5240,5400,5496,5488,5584
0,8,5240,5240,5400,5496,5488,5584
0,9,5240,5240,5400,5496,5488,5584
0,10,5240,5240,5400,5496,5488,5584
0,11,5240,5240,5400,5496,5488,5584
0,12,5240,5240,5400,5496,5488,5584
0,13,5240,5240,5400,5496,5488,5584
0,14,5240,5240,5400,5496,5488,5584
0,15,5240,5240,5400,5496,5488,5584
0,16,5240,5240,5400,5496,5488,5584
0,17,5240,5240,5400,5496,5488,5584
0,18,5240,5240,5400,5496,5488,5584
0,19,5240,5240,5400,5496,5488,5584
0,20,5240,5240,5400,5496,5488,5584
0,21,5240,5240,5400,5496,5488,5584
0,22,5240,5240,5400,5496,5488,5584
0,23,5240,5240,5400,5496,5488,5584
0,24,5240,5240,5400,5496,5488,5584
0,25,5240,5240,5400,5496,5488,5584
0,26,5240,5240,5400,5496,5488,5584
0,27,5240,5240,5400,5496,5488,5584
0,28,5240,5240,5400,5496,5488,5584
0,29,5240,5240,5400,5496,5488,5584
0,30,5240,5240,5400,5496,5488,5584
0,31,5240,5240,5400,5496,5488,5584
0,32,5240,5240,5400,5496,5488,5584
0,33,5240,5240,5400,5496,5488,5584
0,34,5240,5240,5400,5496,5488,5584
0,35,5240,5240,5400,5496,5488,5584
0,36,5240,5240,5400,5496,5488,5584
0,37,5240,5240,5400,5496,5488,5584
0,38,5240,5240,5400,5496,5488,5584
0,39,5240,5240,5400,5496,5488,5584
0,40,5240,5240,5400,5496,5488,5584
0,41,5240,5240,5400,5496,5488,5584
0,42,5240,5240,5400,5496,5488,5584
0,43,5240,5240,5400,5496,5488,5584
0,44,5240,5240,5400,5496,5488,5584
0,45,5240,5240,5400,5496,5488,5584
0,46,5240,5240,5400,5496,5488,5584
0,47,5240,5240,5400,5496,5488,5584
0,48,5240,5240,5400,5496,5488,5584
0,49,5240,5240,5400,5496,5488,5584
0,50,5240,5240,5400,5496,5488,5584
0,51,5240,5240,5400,5496,5488,5584
0,52,5240,5240,5400,5496,5488,5584
0,53,5240,5240,5400,5496,5488,5584
0,54,5240,5240,5400,5496,5488,5584
0,55,5240,5240,5400,5496,5488,5584
0,56,5240,5240,5400,5496,5488,5584
0,57,5240,5240,5400,5496,5488,5584
0,58,5240,5240,5400,5496,5488,5584
0,59,5240,5240,5400,5496,5488,5584
0,60,5240,5240,5400,5496,5488,5584
0,61,5240,5240,5400,5496,5488,5584
0,62,5240,5240,5400,5496,5488,5584
0,63,5240,5240,5400,5496,5488,5584
1,0,14856,15992,17680,20488,23608,29312
1,1,14336,14712,15480,16664,18504,21056
1,2,14032,14800,16320,19040,21848,26336
1,3,14960,15920,17600,21192,24784,30720
1,4,15072,15984,17936,21256,24936,31088
1,5,14216,14832,16256,19632,22864,27632
1,6,13984,14424,15600,17720,19376,22768
1,7,14464,15336,17448,20560,23744,28952
1,8,14704,15864,16848,19984,23280,27960
1,9,14712,15760,17840,21168,24544,29624
1,10,14888,16056,18584,22352,26776,32776
1,11,16024,17136,19352,23560,27048,32528
1,12,15640,17208,20128,24568,29056,35784
1,13,14688,15856,18424,22072,25192,31232
1,14,15336,16176,17896,21096,24896,30440
1,15,14136,14808,15816,18192,20768,25360
1,16,16456,21048,26512,34864,44352,57400
1,17,15224,17312,20640,26008,31352,39288
1,18,16664,18896,22336,28568,34704,44408
1,19,16744,18432,21456,26296,31192,37560
1,20,17648,22824,28712,34120,38816,46048
1,21,15384,16856,19536,24104,28056,34792
1,22,15304,17144,20184,24800,29456,36536
1,23,14920,16824,20160,25120,30128,36704
1,24,14064,16240,19080,23432,27776,34688
1,25,14192,16176,18960,22512,27120,32120
1,26,16272,17792,21032,25488,30192,37176
1,27,16392,19064,23144,29472,35576,45360
1,28,15648,17728,20800,25920,31264,38320
1,29,16632,18752,21840,27656,31792,39760
1,30,15336,17248,19744,24512,29272,36168
1,31,18208,22400,29168,40528,52552,69112
1,32,16680,20264,25448,34032,42712,54408
1,33,16552,20120,25176,32816,38824,47968
1,34,15024,15992,17904,20888,23552,29352
1,35,14328,15192,16680,19832,23296,28064
1,36,14272,15296,16928,19864,22536,27696
1,37,15272,16696,19176,23000,26704,33000
1,38,16152,21096,27024,37672,48872,64952
1,39,18152,25472,35392,51392,66936,89304
1,40,15704,17496,20472,25456,30768,38096
1,41,30224,84824,115288,123312,124392,125584
1,42,24456,39192,56176,75248,83368,89928
1,43,15224,16024,17632,20272,23608,27800
