segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,9520,10424,12256,18128,25528,37936
0,1,9144,9456,11216,15808,21584,34144
0,2,9912,10760,12656,19560,29944,43608
0,3,10552,12416,20128,37480,55896,81400
0,4,15088,40976,72040,110344,145984,193176
0,5,17480,61728,108288,162928,213072,278744
0,6,15888,44592,78256,124168,165152,218016
0,7,14640,26240,48928,82184,116224,153088
0,8,11656,14680,24488,41976,61680,89368
0,9,9088,10360,14528,25624,40672,64544
0,10,9712,10664,14008,22296,35336,53672
0,11,12056,32504,62816,106824,145552,192688
0,12,13360,38088,78200,144576,207472,291336
0,13,13744,34920,70296,127824,184160,256760
0,14,13128,39712,78600,139920,204040,288928
0,15,12816,38704,76288,127032,172600,233112
0,16,15384,37632,66912,111752,154416,202280
0,17,19544,46688,83072,138144,184656,239856
0,18,13744,38712,73384,121280,164384,219512
0,19,13040,32568,61672,105816,142048,193400
0,20,12184,36432,72680,123864,173768,236160
0,21,15832,41488,78880,136704,188864,257280
0,22,14896,49376,93872,154512,213416,290640
0,23,12560,38496,76320,125640,169872,228120
0,24,23920,52840,86952,149368,212272,289976
0,25,45368,86840,137168,220376,306296,421616
0,26,33480,62488,104456,166280,232144,315672
0,27,19208,42680,70248,122400,173664,241096
0,28,17928,40552,69808,121384,175368,251120
0,29,17064,41224,74968,130784,186360,253944
0,30,18536,44040,73568,128072,182272,252248
0,31,18600,42528,74360,129856,185168,251792
0,32,27000,50648,80616,131648,187312,261592
0,33,28608,55728,89136,149528,218904,314184
0,34,19312,46296,81008,143848,213864,307376
0,35,21080,44000,70816,116816,161128,219944
0,36,28608,50008,79480,129496,181576,247928
0,37,32176,53728,83120,132320,182528,246816
0,38,23208,46976,75944,123536,169808,232880
0,39,17936,40632,65816,110032,155672,201192
0,40,17800,46432,82432,152144,226416,315624
0,41,18456,45520,83600,155664,231632,327216
0,42,17816,41680,72032,134496,197248,283936
0,43,19360,41040,67304,114824,168064,232768
0,44,19968,41480,69184,116968,168368,236576
0,45,24264,50176,83336,141168,200984,276688
0,46,15904,29656,49160,83984,125768,166664
0,47,17176,43744,76432,138560,202640,278376
0,48,17016,46680,82352,142736,205064,283728
0,49,17248,41736,74120,131288,191376,261496
0,50,16240,35448,63720,111520,161632,220864
0,51,16736,38832,65704,117112,169768,234264
0,52,16144,41200,72688,125760,176432,235008
0,53,19968,45632,80312,136496,190272,261920
0,54,17256,32504,53384,94928,142256,189600
0,55,17600,42880,76192,132528,195944,270696
0,56,16064,37816,70168,125176,185752,247008
0,57,14720,33440,59848,105272,151848,202376
0,58,14536,32920,58992,103768,153576,203480
0,59,16112,38248,70784,123256,180120,246632
0,60,15048,36640,64920,115104,162736,223032
0,61,16248,38912,69360,119336,170448,234936
0,62,14840,34192,60312,105992,154592,211016
0,63,14456,34024,61200,107936,158248,218200
1,0,11712,13008,21384,38576,62616,89784
1,1,18104,27800,49456,79496,107944,146456
1,2,14024,18784,35784,64096,95272,127520
1,3,22504,48280,84376,128208,168864,207912
1,4,34168,131144,208912,300576,382728,479192
1,5,38568,132560,218800,316776,405832,524032
1,6,39936,145496,232936,341504,433472,566904
1,7,31888,116592,181248,255088,326024,402544
1,8,21840,54424,102504,173184,232608,297872
1,9,16896,22544,46752,93000,139304,193896
1,10,15456,19904,38360,78584,118640,171376
1,11,26368,101000,175392,273192,353736,442008
1,12,30480,130784,230560,374232,505184,672600
1,13,26848,106992,196816,327512,444328,595568
1,14,31584,128584,224464,374320,525320,709752
1,15,32280,126880,221776,353120,463176,605328
1,16,26832,98616,182416,289304,375384,470832
1,17,27040,92736,163376,251272,324008,395560
1,18,27288,115808,201256,310320,405488,532576
1,19,27560,125312,208608,307072,400744,505816
1,20,28640,127560,221808,346104,466800,609608
1,21,23608,90080,158256,251792,332384,407584
1,22,27800,117080,202456,313648,418952,553464
1,23,31520,140048,230936,348016,464200,602304
1,24,32208,86528,140560,227120,305992,382632
1,25,36024,106632,172168,275896,377448,500944
1,26,41656,110952,185568,303936,419584,562384
1,27,27488,74144,133728,227936,309992,399424
1,28,28568,77968,139856,246408,354672,482976
1,29,25560,84176,153528,250552,338784,426280
1,30,28200,81152,145344,251008,348184,448472
1,31,24840,77104,137472,227184,297152,358376
1,32,30272,71360,117288,192632,260608,316960
1,33,32008,76448,123872,203088,290120,366080
1,34,28144,77544,135016,228888,290464,337448
1,35,41744,108096,177528,282576,363936,428976
1,36,44072,115384,189040,302768,419728,551784
1,37,32512,81448,124872,196144,268360,333888
1,38,29184,70664,116352,188952,253160,277680
1,39,24128,62696,106272,167320,197824,223816
1,40,27488,85272,156472,258560,329008,384248
1,41,26176,81496,148760,251736,335216,406328
1,42,27112,77128,143808,245472,316864,362184
1,43,33120,82488,143192,242920,323520,373672
1,44,40040,106520,182952,304272,403408,475376
1,45,40832,116240,202520,336504,469400,611080
1,46,25456,75984,139136,225272,271040,303992
1,47,26520,79000,142440,228752,286424,322744
1,48,27520,88056,151136,244496,314448,354088
1,49,26888,87312,156128,247560,315680,348248
1,50,25208,73056,132960,215792,273520,289448
1,51,25648,74048,133424,222688,279560,307144
1,52,25384,80248,138408,219064,260816,300184
1,53,32096,102752,183592,311080,415544,518904
1,54,27848,83632,152752,255120,312632,354936
1,55,26960,81232,138616,233472,294632,313880
1,56,23640,78704,145656,247568,315680,359648
1,57,24704,79632,143960,231000,292936,342208
1,58,24704,80352,146264,242152,311200,363176
1,59,24864,84776,158808,263104,335672,382552
1,60,24832,82536,151344,250496,317176,368216
1,61,24760,84184,155776,245184,311328,348280
1,62,24824,81296,150352,235536,299272,350344
1,63,24856,78328,144520,244024,304816,354296
2,0,13928,19664,39360,83680,133048,192864
2,1,26208,64752,128936,211688,282280,351888
2,2,18640,32096,71632,136576,198080,266744
2,3,29904,113992,195648,289488,371064,457464
2,4,44360,172216,287072,437952,575200,750192
2,5,42992,168984,303248,483224,649584,843928
2,6,44312,168856,305648,473232,627552,822096
2,7,39896,172144,276352,415784,526432,668088
2,8,31896,144584,264704,416520,527120,678808
2,9,27400,70992,155280,269248,375112,487952
2,10,23056,57640,120488,229584,322360,427232
2,11,31240,150944,266384,440576,595168,772792
2,12,45128,184744,321104,509144,703968,951656
