segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,5240,5240,5400,5496,5488,5584
0,1,5240,5240,5400,5496,5488,5584
0,2,5240,5240,5400,5496,5488,5584
0,3,5240,5240,5400,5496,5488,5584
0,4,5240,5240,5400,5496,5488,5584
0,5,5240,5240,5400,5496,5488,5584
0,6,5240,5240,5400,5496,5488,5584
0,7,5240,5240,5400,5496,5488,5584
0,8,5240,5240,5400,5496,5488,5584
0,9,5240,5240,5400,5496,5488,5584
0,10,5240,5240,5400,5496,5488,5584
0,11,5240,5240,5400,5496,5488,5584
0,12,5240,5240,5400,5496,5488,5584
0,13,5240,5240,5400,5496,5488,5584
0,14,5240,5240,5400,5496,5488,5584
0,15,5240,5240,5400,5496,5488,5584
0,16,5240,5240,5400,5496,5488,5584
0,17,5240,5240,5400,5496,5488,5584
0,18,5240,5240,5400,5496,5488,5584
0,19,5240,5240,5400,5496,5488,5584
0,20,5240,5240,5400,5496,5488,5584
0,21,5240,5240,5400,5496,5488,5584
0,22,5240,5240,5400,5496,5488,5584
0,23,5240,5240,5400,5496,5488,5584
0,24,5240,5240,5400,5496,5488,5584
0,25,5240,5240,5400,5496,5488,5584
0,26,5240,5240,5400,5496,5488,5584
0,27,5240,5240,5400,5496,5488,5584
0,28,5240,5240,5400,5496,5488,5584
0,29,5240,5240,5400,5496,5488,5584
0,30,5240,5240,5400,5496,5488,5584
0,31,5240,5240,5400,5496,5488,5584
0,32,5240,5240,5400,5496,5488,5584
0,33,5240,5240,5400,5496,5488,5584
0,34,5240,5240,5400,5496,5488,5584
0,35,5240,5240,5400,5496,5488,5584
0,36,5240,5240,5400,5496,5488,5584
0,37,5240,5240,5400,5496,5488,5584
0,38,5240,5240,5400,5496,5488,5584
0,39,5240,5240,5400,5496,5488,5584
0,40,5240,5240,5400,5496,5488,5584
0,41,5240,5240,5400,5496,5488,5584
0,42,5240,5240,5400,5496,5488,5584
0,43,5240,5240,5400,5496,5488,5584
0,44,5240,5240,5400,5496,5488,5584
0,45,5240,5240,5400,5496,5488,5584
0,46,5240,5240,5400,5496,5488,5584
0,47,5240,5240,5400,5496,5488,5584
0,48,5240,5240,5400,5496,5488,5584
0,49,5240,5240,5400,5496,5488,5584
0,50,5240,5240,5400,5496,5488,5584
0,51,5240,5240,5400,5496,5488,5584
0,52,5240,5240,5400,5496,5488,5584
0,53,5240,5240,5400,5496,5488,5584
0,54,5240,5240,5400,5496,5488,5584
0,55,5240,5240,5400,5496,5488,5584
0,56,5240,5240,5400,5496,5488,5584
0,57,5240,5240,5400,5496,5488,5584
0,58,5240,5240,5400,5496,5488,5584
0,59,5240,5240,5400,5496,5488,5584
0,60,5240,5240,5400,5496,5488,5584
0,61,5240,5240,5400,5496,5488,5584
0,62,5240,5240,5400,5496,5488,5584
0,63,5240,5240,5400,5496,5488,5584
1,0,10064,9968,10136,10336,10400,10552
1,1,10064,9968,10136,10336,10400,10552
1,2,10064,9968,10136,10336,10400,10552
1,3,10064,9968,10136,10336,10400,10552
1,4,10064,9968,10136,10336,10400,10552
1,5,10064,9968,10136,10336,10400,10552
1,6,10064,9968,10136,10336,10400,10552
1,7,10064,9968,10136,10336,10400,10552
1,8,10064,9968,10136,10336,10400,10552
1,9,10064,9968,10136,10336,10400,10552
1,10,10064,9968,10136,10336,10400,10552
1,11,10064,9968,10136,10336,10400,10552
1,12,10064,9968,10136,10336,10400,10552
1,13,10064,9968,10136,10336,10400,10552
1,14,10064,9968,10136,10336,10400,10552
1,15,10064,9968,10136,10336,10400,10552
1,16,10064,9968,10136,10336,10400,10552
1,17,10064,9968,10136,10336,10400,10552
1,18,10064,9968,10136,10336,10400,10552
1,19,10064,9968,10136,10336,10400,10552
1,20,10064,9968,10136,10336,10400,10552
1,21,10064,9968,10136,10336,10400,10552
1,22,10064,9968,10136,10336,10400,10552
1,23,10064,9968,10136,10336,10400,10552
1,24,10064,9968,10136,10336,10400,10552
1,25,10064,9968,10136,10336,10400,10552
1,26,10064,9968,10136,10336,10400,10552
1,27,10064,9968,10136,10336,10400,10552
1,28,10064,9968,10136,10336,10400,10552
1,29,10064,9968,10136,10336,10400,10552
1,30,10064,9968,10136,10336,10400,10552
1,31,10064,9968,10136,10336,10400,10552
1,32,10064,9968,10136,10336,10400,10552
1,33,10064,9968,10136,10336,10400,10552
1,34,10064,9968,10136,10336,10400,10552
1,35,10064,9968,10136,10336,10400,10552
1,36,10064,9968,10136,10336,10400,10552
1,37,10064,9968,10136,10336,10400,10552
1,38,10064,9968,10136,10336,10400,10552
1,39,10064,9968,10136,10336,10400,10552
1,40,10064,9968,10136,10336,10400,10552
1,41,10064,9968,10136,10336,10400,10552
1,42,10064,9968,10136,10336,10400,10552
1,43,10064,9968,10136,10336,10400,10552
