segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,5240,5240,5400,5496,5488,5584
0,1,5240,5240,5400,5496,5488,5584
0,2,5240,5240,5400,5496,5488,5584
0,3,5240,5240,5400,5496,5488,5584
0,4,5240,5240,5400,5496,5488,5584
0,5,5240,5240,5400,5496,5488,5584
0,6,5240,5240,5400,5496,5488,5584
0,7,5240,5240,5400,5496,5488,5584
0,8,5240,5240,5400,5496,5488,5584
0,9,5240,5240,5400,5496,5488,5584
0,10,5240,5240,5400,5496,5488,5584
0,11,5240,5240,5400,5496,5488,5584
0,12,5240,5240,5400,5496,5488,5584
0,13,5240,5240,5400,5496,5488,5584
0,14,5240,5240,5400,5496,5488,5584
0,15,5240,5240,5400,5496,5488,5584
0,16,5240,5240,5400,5496,5488,5584
0,17,5240,5240,5400,5496,5488,5584
0,18,5240,5240,5400,5496,5488,5584
0,19,5240,5240,5400,5496,5488,5584
0,20,5240,5240,5400,5496,5488,5584
0,21,5240,5240,5400,5496,5488,5584
0,22,5240,5240,5400,5496,5488,5584
0,23,5240,5240,5400,5496,5488,5584
0,24,7912,9256,10568,12776,14608,16784
0,25,9296,11656,13384,15672,16928,19384
0,26,7024,7624,8656,10072,11480,12904
0,27,9352,11664,13696,15728,17264,19480
0,28,8784,9360,10752,13072,14248,16640
0,29,9136,11120,13320,15176,16800,18936
0,30,8608,9392,11176,12840,14648,16536
0,31,9344,11688,13384,15384,17000,19192
0,32,9312,10144,12504,14336,15640,16992
0,33,9928,13160,15976,18440,19664,22064
0,34,9208,10344,12392,14256,15528,16856
0,35,9344,10656,12848,14776,16400,19120
0,36,9264,10280,12344,14240,15720,16968
0,37,9880,12800,15560,18080,19608,22024
0,38,9200,10200,12536,14352,15696,16896
0,39,11576,13080,15256,18096,19680,21920
0,40,5240,5240,5400,5496,5488,5584
0,41,5240,5240,5400,5496,5488,5584
0,42,5240,5240,5400,5496,5488,5584
0,43,5240,5240,5400,5496,5488,5584
0,44,5240,5240,5400,5496,5488,5584
0,45,5240,5240,5400,5496,5488,5584
0,46,5240,5240,5400,5496,5488,5584
0,47,5240,5240,5400,5496,5488,5584
0,48,5240,5240,5400,5496,5488,5584
0,49,5240,5240,5400,5496,5488,5584
0,50,5240,5240,5400,5496,5488,5584
0,51,5240,5240,5400,5496,5488,5584
0,52,5240,5240,5400,5496,5488,5584
0,53,5240,5240,5400,5496,5488,5584
0,54,5240,5240,5400,5496,5488,5584
0,55,5240,5240,5400,5496,5488,5584
0,56,5240,5240,5400,5496,5488,5584
0,57,5240,5240,5400,5496,5488,5584
0,58,5240,5240,5400,5496,5488,5584
0,59,5240,5240,5400,5496,5488,5584
0,60,5240,5240,5400,5496,5488,5584
0,61,5240,5240,5400,5496,5488,5584
0,62,5240,5240,5400,5496,5488,5584
0,63,5240,5240,5400,5496,5488,5584
1,0,10064,9968,10136,10336,10400,10552
1,1,10064,9968,10136,10336,10400,10552
1,2,10064,9968,10136,10336,10400,10552
1,3,10064,9968,10136,10336,10400,10552
1,4,10064,9968,10136,10336,10400,10552
1,5,10064,9968,10136,10336,10400,10552
1,6,10064,9968,10136,10336,10400,10552
1,7,10064,9968,10136,10336,10400,10552
1,8,10064,9968,10136,10336,10400,10552
1,9,10064,9968,10136,10336,10400,10552
1,10,10064,9968,10136,10336,10400,10552
1,11,10064,9968,10136,10336,10400,10552
1,12,10064,9968,10136,10336,10400,10552
1,13,10064,9968,10136,10336,10400,10552
1,14,10064,9968,10136,10336,10400,10552
1,15,10064,9968,10136,10336,10400,10552
1,16,10064,9968,10136,10336,10400,10552
1,17,10064,9968,10136,10336,10400,10552
1,18,10064,9968,10136,10336,10400,10552
1,19,10064,9968,10136,10336,10400,10552
1,20,10064,9968,10136,10336,10400,10552
1,21,10064,9968,10136,10336,10400,10552
1,22,10064,9968,10136,10336,10400,10552
1,23,10064,9968,10136,10336,10400,10552
1,24,19448,21472,24080,28800,32600,37776
1,25,36680,57760,72912,90616,94520,98048
1,26,20688,22136,25040,30328,33584,39352
1,27,32072,39040,49248,63296,72024,84520
1,28,21672,23696,27752,34192,38992,45536
1,29,30672,38112,47264,59656,68568,80152
1,30,19040,20800,23760,27992,31832,36576
1,31,23984,29160,35144,45800,51464,60936
1,32,26576,29072,33104,39312,43744,48944
1,33,22544,25472,30064,35776,40520,46200
1,34,23304,25600,29048,33832,37328,42016
1,35,29448,32672,38816,48792,53992,62672
1,36,26368,28608,32888,38872,42064,48040
1,37,24552,28848,34200,42672,47944,55520
1,38,25816,28520,32696,38912,42216,48168
1,39,22208,24752,28704,34920,38456,44560
1,40,10064,9968,10136,10336,10400,10552
1,41,10064,9968,10136,10336,10400,10552
1,42,10064,9968,10136,10336,10400,10552
1,43,10064,9968,10136,10336,10400,10552
