segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,16784,40672,64104,89352,112392,130928
0,1,16776,41376,62408,86288,107848,125112
0,2,18824,43688,64312,83464,101384,113768
0,3,16400,32776,48416,62424,77112,88728
0,4,15912,37960,57456,78072,97072,110520
0,5,14904,34736,53784,76144,94640,109944
0,6,13072,25104,38024,51424,64568,72560
0,7,13072,25104,38024,51424,64568,72560
0,8,14432,18552,24512,35512,43592,52656
0,9,12472,23328,36176,51816,69416,85504
0,10,15872,26944,37456,48304,63072,74688
0,11,13424,15320,19000,24984,30568,37048
0,12,15816,31760,44624,59328,76424,88616
0,13,15072,31416,44752,58960,75048,82104
0,14,14568,20608,28088,41960,51168,64360
0,15,14568,20608,28088,41960,51168,64360
0,16,16600,43880,71152,107648,145456,187944
0,17,15168,31464,50280,77224,103000,133872
0,18,12672,29656,45176,68768,91152,113088
0,19,16624,40712,70272,107760,141352,183088
0,20,21328,61040,107056,176656,241096,323736
0,21,17744,44088,70568,107392,144216,195048
0,22,13864,30528,48776,76432,104208,139368
0,23,13864,30528,48776,76432,104208,139368
0,24,16408,47488,88816,150960,211064,292912
0,25,25592,83536,156096,276568,400408,556336
0,26,15848,44712,81216,140160,198712,277840
0,27,19008,50864,87920,151112,215872,303696
0,28,18112,48696,85736,147256,212800,301624
0,29,24904,76288,139192,233672,328648,453800
0,30,30448,91504,170048,289352,409536,569744
0,31,30448,91504,170048,289352,409536,569744
0,32,19104,52168,88736,145128,201264,270776
0,33,19896,55240,105488,186792,268152,380656
0,34,19056,45640,79032,128296,175560,233568
0,35,16960,42656,72544,118200,166072,223616
0,36,18112,49544,87096,146256,205968,277912
0,37,18584,45952,75360,120176,166752,227640
0,38,18760,49240,82848,134416,186968,255904
0,39,18760,49240,82848,134416,186968,255904
0,40,14336,33376,54848,81672,106664,135296
0,41,13928,33784,56096,90624,125000,166472
0,42,13664,29640,45064,62920,79856,95128
0,43,14872,34568,51968,72744,88608,99864
0,44,13984,29736,50536,81552,111536,142808
0,45,17080,43648,75400,120696,161640,220760
0,46,15272,33816,57608,97376,138664,196432
0,47,15272,33816,57608,97376,138664,196432
0,48,14336,33376,54848,81672,106664,135296
0,49,13928,33784,56096,90624,125000,166472
0,50,13664,29640,45064,62920,79856,95128
0,51,14872,34568,51968,72744,88608,99864
0,52,13984,29736,50536,81552,111536,142808
0,53,17080,43648,75400,120696,161640,220760
0,54,15272,33816,57608,97376,138664,196432
0,55,15272,33816,57608,97376,138664,196432
0,56,14336,33376,54848,81672,106664,135296
0,57,13928,33784,56096,90624,125000,166472
0,58,13664,29640,45064,62920,79856,95128
0,59,14872,34568,51968,72744,88608,99864
0,60,13984,29736,50536,81552,111536,142808
0,61,17080,43648,75400,120696,161640,220760
0,62,15272,33816,57608,97376,138664,196432
0,63,15272,33816,57608,97376,138664,196432
1,0,32088,125104,215400,331960,417912,454848
1,1,35040,127480,229344,334576,420416,463816
1,2,32120,113064,182256,267120,315424,336024
1,3,33456,115736,180872,259272,308632,330304
1,4,32712,127304,206728,304024,382944,436128
1,5,29808,114592,198872,325216,437232,479720
1,6,22568,82136,133360,200968,235384,247328
1,7,22568,82136,133360,200968,235384,247328
1,8,29608,85656,135392,195632,235848,253432
1,9,33384,125056,206224,322792,409288,450632
1,10,30232,94952,149984,221824,257632,268624
1,11,24544,65056,95192,136672,158648,162992
1,12,33784,103928,161192,240808,265760,271912
1,13,30688,100392,155736,232480,280312,291448
1,14,35536,115960,184376,264600,322600,354456
1,15,35536,115960,184376,264600,322600,354456
1,16,31064,133152,236888,374136,506920,601160
1,17,25768,123248,225144,365192,489296,585504
1,18,31424,131512,232184,368928,497424,593208
1,19,30152,129640,225880,356616,484776,591776
1,20,51136,172200,295872,469656,627584,814744
1,21,39480,139032,243240,383872,520648,676464
1,22,45448,162896,289536,465432,625200,810784
1,23,45448,162896,289536,465432,625200,810784
1,24,47800,192840,364296,617968,875872,1195632
1,25,50224,182504,333008,548456,761680,1038288
1,26,51192,194896,355296,595584,822240,1096048
1,27,65800,223928,407296,673480,936096,1259184
1,28,60568,208328,380624,649032,905760,1233032
1,29,66688,218488,394784,659728,909944,1250832
1,30,56272,182656,322736,531432,739432,1013624
1,31,56272,182656,322736,531432,739432,1013624
1,32,42824,174520,320360,532056,731528,982424
1,33,44216,177096,321464,541016,734360,983424
1,34,38928,161256,282192,453584,609424,755680
1,35,42896,173456,312088,523584,723184,960800
1,36,43112,164184,298640,487512,676072,897872
1,37,37576,146080,273192,460272,653112,896440
1,38,40496,150632,285168,477072,663224,887208
1,39,40496,150632,285168,477072,663224,887208
1,40,34392,130008,222760,355904,494280,585152
1,41,36472,154816,285384,475920,655560,855528
1,42,31488,123424,214256,339592,431504,464032
1,43,26520,104776,182320,298384,362312,374496
1,44,36136,145912,254688,410000,555720,653112
1,45,35024,142424,253224,412960,574672,725808
1,46,33704,147088,271208,450472,625000,825432
1,47,33704,147088,271208,450472,625000,825432
1,48,34392,130008,222760,355904,494280,585152
1,49,36472,154816,285384,475920,655560,855528
1,50,31488,123424,214256,339592,431504,464032
1,51,26520,104776,182320,298384,362312,374496
1,52,36136,145912,254688,410000,555720,653112
1,53,35024,142424,253224,412960,574672,725808
1,54,33704,147088,271208,450472,625000,825432
1,55,33704,147088,271208,450472,625000,825432
1,56,34392,130008,222760,355904,494280,585152
1,57,36472,154816,285384,475920,655560,855528
1,58,31488,123424,214256,339592,431504,464032
1,59,26520,104776,182320,298384,362312,374496
1,60,36136,145912,254688,410000,555720,653112
1,61,35024,142424,253224,412960,574672,725808
1,62,33704,147088,271208,450472,625000,825432
1,63,33704,147088,271208,450472,625000,825432
2,0,38272,150288,288768,501200,693968,774808
