segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,11920,16488,20680,27000,32368,39512
0,1,7568,7864,8184,8856,8944,9576
0,2,10832,13728,16984,21600,26608,32832
0,3,7512,7472,7960,8240,8296,8848
0,4,8432,8616,8840,9600,10072,10728
0,5,8184,8520,8816,10008,9712,10088
0,6,8712,8560,8888,9424,9664,10256
0,7,7504,8120,8256,9064,9272,9936
0,8,20072,35808,52320,74112,98944,131104
0,9,22936,44616,66592,99912,137776,183184
0,10,7704,8520,8704,9784,10272,11304
0,11,7584,7528,7952,8144,8064,8592
0,12,7576,7496,7800,8016,8216,8880
0,13,7480,7616,8000,8568,8720,9200
0,14,8744,8608,8912,9448,10120,10624
0,15,7304,7840,8248,8656,8944,9264
0,16,24160,45552,65656,94136,123232,157936
0,17,20520,35992,52648,79008,105144,140664
0,18,18216,29368,41040,58856,76256,97808
0,19,10344,10872,12032,13552,15544,17328
0,20,20840,38672,55008,77224,101728,126224
0,21,19376,31736,46032,66488,85768,109792
0,22,13328,18192,22784,29632,37088,44944
0,23,22592,44384,63960,89608,114144,143960
0,24,29432,52176,79496,120168,155192,200800
0,25,26576,64280,96312,142944,189584,245744
0,26,25584,58728,91920,139024,184688,235312
0,27,27456,47600,72776,108216,145600,192808
0,28,32008,61680,91944,134176,173272,220888
0,29,39792,95368,142608,212200,273464,348112
0,30,30256,76808,115112,166888,212848,271144
0,31,20112,20352,24640,30896,37208,45664
0,32,29936,61744,89456,128480,162776,206712
0,33,49728,104312,147680,204152,251312,307256
0,34,38144,96648,154328,230680,299448,378392
0,35,35968,70688,114368,167136,215472,265784
0,36,34248,79040,126088,184968,243904,310664
0,37,47336,109944,158816,230744,291024,362184
0,38,65520,158272,236928,329888,409376,496672
0,39,30624,59720,93968,139072,182088,231976
0,40,27416,51280,76912,110976,143688,184152
0,41,32608,70888,113368,174320,227000,285072
0,42,26808,65936,101632,158248,212744,277440
0,43,23520,55760,84192,123232,158680,202216
0,44,26432,57448,84232,120424,153752,195304
0,45,25112,49344,72192,106800,141152,182760
0,46,31568,63240,92352,132608,169512,215688
0,47,23520,44448,69784,104120,136264,178304
0,48,18088,35640,52856,78424,103992,134944
0,49,22680,42632,62864,92904,122144,157312
0,50,21552,41576,61080,92440,121160,157200
0,51,23384,44912,68592,103280,134040,168408
0,52,20160,37568,55408,81632,108520,141416
0,53,21512,41520,61856,92008,121920,159008
0,54,19648,38104,55168,84968,113008,145480
0,55,13304,24376,37104,53336,71232,93552
0,56,6800,7304,7608,7872,8096,8672
0,57,7240,7416,8000,8384,8400,9432
0,58,11784,16584,21888,30912,38704,53080
0,59,6544,6784,6832,7160,7168,7368
0,60,13656,23000,32128,45944,59736,78888
0,61,12512,17256,22344,30704,39424,51344
0,62,7152,7408,8040,8632,9016,9640
0,63,6792,7376,7856,8056,8104,8664
1,0,20392,57528,99232,166808,211536,257464
1,1,26680,70232,103456,136344,134912,202136
1,2,16016,28592,52856,89600,119976,160480
1,3,15616,33360,56008,98528,95064,173280
1,4,7520,8280,9064,12000,15736,21448
1,5,8296,8344,8768,9272,9824,11008
1,6,7384,7672,8520,9688,10872,13608
1,7,8976,10568,12976,18480,23912,33768
1,8,30248,100752,201568,371424,522808,710408
1,9,27552,99760,208176,381056,529352,723936
1,10,20600,39136,62720,99264,131992,154208
1,11,21200,58672,103896,154216,154880,202744
1,12,19016,38744,64800,111432,110728,192848
1,13,9432,11544,13944,18360,18792,32184
1,14,7592,7848,8648,10160,11976,14416
1,15,26968,73776,123584,194592,215096,241456
1,16,27824,91632,179120,338792,482288,659400
1,17,30104,108472,226232,405664,563312,742696
1,18,24104,76424,142160,229480,292608,335032
1,19,10608,14272,18256,25584,36064,50528
1,20,26704,82928,163208,285144,387800,479928
1,21,26248,78400,141288,239512,308800,351344
1,22,19336,38240,60280,92136,116784,138976
1,23,28776,98600,188656,333232,454744,558616
1,24,23304,77464,172264,348408,535328,751904
1,25,36456,120128,239560,423192,609784,832592
1,26,31200,113640,231136,418928,607864,821568
1,27,21248,77504,166560,327560,485576,659024
1,28,25624,77792,158608,313776,484616,690760
1,29,42568,141200,281688,518672,745344,1010600
1,30,37416,119672,232512,419104,595176,797536
1,31,27112,86832,158384,287320,415776,559528
1,32,23864,78856,153312,281912,416872,558960
1,33,73520,212184,370224,610344,843104,1121400
1,34,52512,171472,312584,534488,750680,1011856
1,35,38248,113536,207384,371720,540936,760920
1,36,35704,107056,209016,382112,559144,789256
1,37,47216,154640,301304,530184,752744,1015944
1,38,80168,248296,439448,722936,997528,1312672
1,39,24976,84448,175816,340328,513984,727456
1,40,31632,106152,214704,416904,618528,851984
1,41,39032,117840,232480,428480,636288,900816
1,42,40096,126944,246488,440392,622440,848808
1,43,34064,115352,224400,426112,619576,861136
1,44,30296,101864,204584,399152,607016,857992
1,45,34032,115584,242328,456904,648048,894592
1,46,39696,127368,255992,477272,700824,978448
1,47,29632,103200,205080,380216,555832,764016
1,48,31480,109408,213712,385512,525512,676808
1,49,33704,108312,215552,382104,523040,657016
1,50,33440,110624,218056,379432,518680,662888
1,51,35256,115136,231344,415272,583464,754872
1,52,34016,120880,249720,455088,632328,824032
1,53,34720,115664,230536,415760,569784,733256
1,54,32720,117736,242488,436824,599824,777000
1,55,34432,113552,214232,380376,515216,647016
1,56,38808,133816,192856,203488,218360,222720
1,57,21512,66184,123440,193176,199336,224608
1,58,18920,46104,92576,178784,222560,260488
1,59,27152,85192,153520,243392,263800,274120
1,60,23904,62992,118376,193296,237040,253056
1,61,21672,49048,93672,176832,219408,256008
1,62,17104,34344,64240,116928,172848,224376
1,63,25928,80416,146432,240488,266232,287976
2,0,21400,75584,135600,218392,274464,328960
2,1,16968,49648,98472,161552,166832,242928
2,2,33056,103736,156080,212816,249720,292440
2,3,14320,41528,75928,122624,130136,209376
2,4,10784,14720,20304,30832,41312,54464
2,5,9552,9552,10320,11688,12944,14208
2,6,9440,10168,11288,12872,15016,17112
2,7,9968,11792,17232,26088,34944,46368
2,8,31120,121280,240448,418784,582872,775072
2,9,30904,125592,244160,414200,569176,748904
2,10,22312,84176,159616,243848,291440,340784
2,11,24824,98656,195576,316688,370096,484944
2,12,19512,61928,130432,221808,234736,351384
2,13,10280,13304,16904,26008,27784,47336
2,14,10208,10552,11392,13624,16040,18784
2,15,26472,85000,164768,281176,333872,397352
2,16,30736,114064,231320,402288,570680,782776
2,17,32168,127856,243672,407648,566816,753064
2,18,28832,107800,206360,337624,442688,524192
2,19,17240,28864,48752,89704,128816,181064
2,20,36312,127456,227952,372104,496944,595984
2,21,38224,125272,222184,353064,435320,501552
2,22,34456,93920,143960,179968,198520,224432
2,23,38480,133936,244320,400904,540096,659456
2,24,26616,89824,195624,349472,503248,691720
2,25,43760,145424,273072,467288,654536,868432
2,26,36616,133416,258000,442360,613928,828776
2,27,32936,123392,232392,403472,576776,777568
2,28,33672,110832,213416,365960,519440,719928
2,29,50952,156376,284312,472624,662312,917800
2,30,46992,148736,272936,463320,648368,882272
2,31,37120,127416,240912,416560,585872,767432
2,32,35448,113656,215928,374608,526656,709048
2,33,69176,202048,346896,560888,765832,1027344
2,34,51960,159792,286272,488096,686072,944528
2,35,38104,110088,209680,370576,516112,701168
2,36,49064,143368,260896,445936,628736,858152
2,37,57488,160704,285456,469256,644640,881856
2,38,67904,201640,345776,585832,838856,1146704
2,39,29984,97960,211192,385744,554520,773776
2,40,36688,119608,225040,388952,556096,784024
2,41,47072,136168,253616,438896,624712,868776
2,42,47048,150168,274440,464904,652240,895440
2,43,38504,124704,233544,408448,574656,805896
2,44,36912,120448,228976,388600,553760,790672
2,45,41264,131688,243360,411688,586328,817808
2,46,48136,144568,267912,452056,645536,901152
2,47,40712,145976,261936,452560,631368,885056
2,48,42168,144872,262392,439440,612336,814368
2,49,41464,143496,261888,437640,621512,823128
2,50,38984,130320,258336,444432,628056,834536
2,51,41976,144864,256256,424672,598016,807248
2,52,36816,135016,265216,452296,618256,836296
2,53,38000,129176,260736,435944,603584,816264
2,54,36544,135176,265088,452352,633664,851472
2,55,33520,132752,257320,450760,621000,808432
2,56,25112,100696,212280,401952,484248,536712
2,57,23336,86312,182976,336344,417736,500384
2,58,35768,164568,309472,453800,538720,563584
2,59,26688,122392,245040,402400,510336,589504
2,60,26136,106056,208664,359056,459480,529096
2,61,26264,95232,205864,346208,438992,515440
2,62,42408,223184,360840,470728,541968,587752
2,63,26048,100016,210136,370152,492000,615016
3,0,30224,129936,229176,331768,394056,460104
3,1,21456,86960,148856,202512,213816,274976
3,2,29256,130736,219896,289856,333344,357520
3,3,19240,72848,122664,167480,168352,233224
3,4,8528,16632,29912,51504,68032,84240
3,5,7712,9224,11088,14912,18856,23376
3,6,7576,8880,11072,15616,19808,24800
3,7,9792,15048,24752,38288,48376,59432
3,8,37152,135144,243040,406728,557136,750264
3,9,38336,140264,254680,428432,602928,823608
3,10,22024,70144,127696,177744,208280,239392
3,11,23536,117184,213152,319272,377136,429568
3,12,22664,109520,188816,237992,254296,294576
3,13,9040,12248,17872,27872,29048,48408
3,14,7888,9296,12680,18760,25360,34032
3,15,26856,79440,128640,181192,199072,215992
3,16,35904,130264,235016,394816,537712,716424
3,17,39896,139560,234528,384640,523984,707776
3,18,32128,107616,184720,276048,332976,358872
3,19,15200,30184,49752,80784,99960,107456
3,20,35272,115880,197704,306744,394008,451856
3,21,34808,110280,186864,289736,344408,358488
3,22,23200,82144,137448,165768,183968,194104
3,23,40216,122688,203704,313096,403104,461224
3,24,31512,107336,215872,370320,515576,702904
3,25,47184,149192,261616,425448,588296,800608
3,26,42248,145112,251344,420504,587912,799752
3,27,30144,111520,219120,373552,510688,677192
3,28,36128,108168,205264,352088,484080,646064
3,29,56048,156744,264656,434456,604120,837280
3,30,54672,158240,266752,431048,591352,792952
3,31,35072,103096,192064,335472,457688,599608
3,32,35608,106480,195232,321112,433136,553896
3,33,58968,162896,263432,420256,583864,811608
3,34,58088,177320,295136,475520,657592,900760
3,35,41072,115760,203960,333304,449368,594256
3,36,48152,135008,232960,378208,524704,721416
3,37,57992,156784,260896,417616,578872,806056
3,38,60200,172320,286216,475592,665080,922656
3,39,35264,117592,224792,379352,518448,704784
3,40,43112,129960,233152,388248,535544,727800
3,41,51472,140392,244720,405528,561912,774816
3,42,53224,154448,265328,434216,597576,811616
3,43,45088,132528,235120,393224,533152,731520
3,44,42928,129432,243720,430512,606600,839688
3,45,46432,144784,253824,416248,578448,775688
3,46,55496,156784,270624,440416,623344,881008
3,47,41376,142760,268184,458984,636168,855400
3,48,38960,142816,242952,381072,518904,658784
3,49,44472,141112,239912,379272,523168,655984
3,50,43968,147800,255584,407256,549344,689112
3,51,46424,141784,241800,385232,518584,686912
3,52,42216,156672,273448,444304,616728,841800
3,53,43488,150240,256856,410272,552728,738976
3,54,44040,152224,269328,422512,580680,772936
3,55,39904,148152,256528,404072,540288,662808
3,56,27344,103200,179888,267992,288832,295232
3,57,24552,107616,182864,263040,278512,288880
3,58,30440,114664,198384,273848,311184,336104
3,59,31608,110160,191496,270040,303320,324072
3,60,29072,104688,180136,251688,291280,307840
3,61,26600,104056,181040,256024,298696,307256
3,62,27288,116872,210000,304336,332200,353568
3,63,31392,127808,213184,300120,315336,319944
4,0,33592,115992,185896,258736,289328,325928
4,1,26560,112264,177368,235200,268888,283896
4,2,30048,107144,172832,211368,241840,249496
4,3,27584,110672,165296,213312,232528,244544
4,4,9688,19832,32840,47712,60248,69112
4,5,7328,9208,12976,17656,22192,27600
4,6,7448,9504,15072,19816,25384,28960
4,7,16432,38016,64144,88056,98784,112584
4,8,40336,136368,227440,359704,475256,617024
4,9,44608,154424,262904,428728,585792,774448
4,10,27640,103528,172504,219168,249104,268168
4,11,28336,118376,190504,242552,273080,290384
4,12,26568,116352,196576,250472,279584,298936
4,13,12440,22128,36816,55280,59264,73832
4,14,8568,11600,15904,22408,29688,36712
4,15,30096,98464,166368,229248,250800,273920
4,16,41112,139512,240928,386176,516760,689576
4,17,45272,148312,242968,370624,506200,616912
4,18,36880,111712,184832,273128,312208,335528
4,19,19648,53792,91104,115736,122952,143000
4,20,38624,115608,183376,273128,333424,354040
4,21,36408,104736,171216,243656,276616,289944
4,22,27584,86056,136512,167128,177296,182136
4,23,42416,124440,193872,284208,361608,382960
4,24,37016,122192,219776,350248,477416,622424
4,25,50584,158856,272296,436608,591728,771392
4,26,49056,152648,257016,404120,544480,718984
4,27,33792,125104,225688,359688,481544,622160
4,28,40920,117768,206728,324968,430976,556472
4,29,57792,153408,244640,372720,494560,657488
4,30,54336,157176,260248,410072,552096,732048
4,31,38528,117032,208864,337632,447456,559320
4,32,39216,114152,194416,302344,395800,497072
4,33,67168,189976,305232,474336,642272,874320
4,34,56472,157984,254368,407872,551680,749184
4,35,44016,120832,201200,303152,396288,506448
4,36,51776,145424,241504,375128,506760,684032
4,37,60760,161688,250112,366160,472272,615424
4,38,52552,151432,251080,389392,534728,730216
4,39,40424,130744,225672,356624,483208,649856
4,40,47720,141832,243264,387912,537376,718880
4,41,56176,154824,252928,395008,527472,697328
4,42,55712,161040,273608,432416,600280,800544
4,43,50536,142016,239464,376728,504352,675024
4,44,48632,139776,241080,386232,517832,697608
4,45,50240,149872,249632,397048,545440,730208
4,46,60592,165360,279800,441784,615592,834488
4,47,47280,149680,256496,415880,571200,778232
4,48,45376,149920,242224,379104,510424,628112
4,49,49064,151768,253016,390960,525952,627792
4,50,49448,154352,257832,390008,521504,641696
4,51,51104,154752,250552,380536,497336,630152
4,52,47800,163696,269584,408976,557392,727720
4,53,50232,154072,247664,384632,517656,658096
4,54,48376,161264,273984,413432,556536,707848
4,55,46576,155656,257656,408576,533024,632528
4,56,32144,126032,196776,252696,264840,270240
4,57,31800,124000,200024,258504,267560,277224
4,58,34976,136840,215096,269568,276152,285464
4,59,39016,137120,214664,269072,276840,276504
4,60,34752,124512,198448,267872,278264,290848
4,61,32872,126080,205624,275784,285544,296192
4,62,37056,147872,237976,294944,302088,304280
