segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,6456,6536,7520,9296,11136,13808
0,1,8144,9032,11104,15056,20264,27256
0,2,10088,15344,24168,38608,51408,69584
0,3,8960,13512,20344,34376,48728,70384
0,4,8824,12520,19992,32296,44464,60832
0,5,11816,20376,31552,50896,70800,95632
0,6,13784,21664,35272,54480,72296,96960
0,7,8928,11168,16432,23880,31688,41928
0,8,7936,8952,11200,15968,21368,29344
0,9,7688,10592,14792,24016,32952,46976
0,10,12064,18448,29104,48408,66240,95744
0,11,9464,13728,20504,34960,50296,72120
0,12,14392,24616,40288,71768,104160,147640
0,13,16240,28152,44296,75016,106912,152184
0,14,17792,28056,46872,77008,107896,151424
0,15,13064,19168,30832,48592,66640,92624
0,16,9216,12344,16832,25360,33848,46128
0,17,12392,18256,29088,48504,69040,94176
0,18,21976,50376,85072,140272,194856,263016
0,19,17496,42744,72168,119552,173952,239232
0,20,17696,31288,52552,89728,129768,188448
0,21,22120,48520,83296,135864,189936,260912
0,22,19848,37136,59504,96176,134704,182000
0,23,16280,26088,43936,70448,98224,133544
0,24,14464,20688,32784,53440,72464,102496
0,25,15696,26232,43784,72792,103864,146480
0,26,18376,41848,69864,121888,175152,253056
0,27,24392,52944,85096,137720,194152,272024
0,28,29248,80064,139528,234832,329896,463744
0,29,29720,72072,121864,201312,283528,391504
0,30,21096,49160,84264,139376,193952,268632
0,31,16616,33344,51656,81872,112792,155792
0,32,15296,22536,34024,54576,76216,105112
0,33,18392,40368,69896,113456,153472,209248
0,34,21256,51024,86768,147304,212176,301632
0,35,34392,71808,116072,188472,263728,372152
0,36,39168,87192,146504,236952,328216,452920
0,37,29304,61176,103064,171400,239144,329320
0,38,29760,65896,110608,178104,247864,336304
0,39,26592,67128,110424,177960,245712,329760
0,40,14064,18936,27984,44376,61512,89296
0,41,21560,41760,69600,118904,171088,241744
0,42,29352,75128,128768,215128,308440,431912
0,43,36984,84096,139432,229624,321488,439992
0,44,40088,89760,149424,245672,340800,473688
0,45,42272,84984,142648,235928,331176,461704
0,46,36192,88040,147872,241656,336720,466672
0,47,33128,73736,124280,206272,290008,399392
0,48,30128,67656,114464,195216,279368,395656
0,49,33552,77224,129320,211200,292808,407344
0,50,39088,86832,146064,235248,328832,453296
0,51,43592,109544,179480,287096,394848,541920
0,52,46336,111096,181992,288192,396568,542384
0,53,47448,110256,186552,300952,415296,565096
0,54,43640,100256,162112,256520,355736,481328
0,55,41072,96112,155072,247168,338504,458184
0,56,12984,18496,27808,42432,59448,83688
0,57,19832,40296,67232,113080,160496,222848
0,58,19208,37632,63712,107552,158280,224048
