segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,5240,5240,5400,5496,5488,5584
0,1,5240,5240,5400,5496,5488,5584
0,2,5240,5240,5400,5496,5488,5584
0,3,5240,5240,5400,5496,5488,5584
0,4,5240,5240,5400,5496,5488,5584
0,5,5240,5240,5400,5496,5488,5584
0,6,5240,5240,5400,5496,5488,5584
0,7,5240,5240,5400,5496,5488,5584
0,8,5240,5240,5400,5496,5488,5584
0,9,5240,5240,5400,5496,5488,5584
0,10,5240,5240,5400,5496,5488,5584
0,11,5240,5240,5400,5496,5488,5584
0,12,5240,5240,5400,5496,5488,5584
0,13,5240,5240,5400,5496,5488,5584
0,14,5240,5240,5400,5496,5488,5584
0,15,5240,5240,5400,5496,5488,5584
0,16,5240,5240,5400,5496,5488,5584
0,17,5240,5240,5400,5496,5488,5584
0,18,5240,5240,5400,5496,5488,5584
0,19,5240,5240,5400,5496,5488,5584
0,20,5240,5240,5400,5496,5488,5584
0,21,5240,5240,5400,5496,5488,5584
0,22,5240,5240,5400,5496,5488,5584
0,23,5240,5240,5400,5496,5488,5584
0,24,7144,7312,7744,8560,9224,9880
0,25,10944,11392,12088,13360,14128,15176
0,26,7032,7160,7896,8392,9416,10112
0,27,17168,23944,29928,36976,46104,54496
0,28,7048,7352,7712,8600,9400,10072
0,29,8064,8472,8912,10360,10880,12088
0,30,7096,7344,7840,8368,9144,10144
0,31,11424,11720,13608,13824,14944,15912
0,32,6528,6688,7088,7408,8224,8744
0,33,6608,6784,6784,7616,8184,8872
0,34,6696,6936,7136,8064,8720,8816
0,35,9640,12048,14216,18152,20864,25344
0,36,7000,7224,8120,8400,8776,9720
0,37,6624,6840,7136,7624,8480,9376
0,38,6600,6824,7304,7896,8512,9128
0,39,6520,6800,6872,7664,7912,8960
0,40,5240,5240,5400,5496,5488,5584
0,41,5240,5240,5400,5496,5488,5584
0,42,5240,5240,5400,5496,5488,5584
0,43,5240,5240,5400,5496,5488,5584
0,44,5240,5240,5400,5496,5488,5584
0,45,5240,5240,5400,5496,5488,5584
0,46,5240,5240,5400,5496,5488,5584
0,47,5240,5240,5400,5496,5488,5584
0,48,5240,5240,5400,5496,5488,5584
0,49,5240,5240,5400,5496,5488,5584
0,50,5240,5240,5400,5496,5488,5584
0,51,5240,5240,5400,5496,5488,5584
0,52,5240,5240,5400,5496,5488,5584
0,53,5240,5240,5400,5496,5488,5584
0,54,5240,5240,5400,5496,5488,5584
0,55,5240,5240,5400,5496,5488,5584
0,56,5240,5240,5400,5496,5488,5584
0,57,5240,5240,5400,5496,5488,5584
0,58,5240,5240,5400,5496,5488,5584
0,59,5240,5240,5400,5496,5488,5584
0,60,5240,5240,5400,5496,5488,5584
0,61,5240,5240,5400,5496,5488,5584
0,62,5240,5240,5400,5496,5488,5584
0,63,5240,5240,5400,5496,5488,5584
1,0,10064,9968,10136,10336,10400,10552
1,1,10064,9968,10136,10336,10400,10552
1,2,10064,9968,10136,10336,10400,10552
1,3,10064,9968,10136,10336,10400,10552
1,4,10064,9968,10136,10336,10400,10552
1,5,10064,9968,10136,10336,10400,10552
1,6,10064,9968,10136,10336,10400,10552
1,7,10064,9968,10136,10336,10400,10552
1,8,10064,9968,10136,10336,10400,10552
1,9,10064,9968,10136,10336,10400,10552
1,10,10064,9968,10136,10336,10400,10552
1,11,10064,9968,10136,10336,10400,10552
1,12,10064,9968,10136,10336,10400,10552
1,13,10064,9968,10136,10336,10400,10552
1,14,10064,9968,10136,10336,10400,10552
1,15,10064,9968,10136,10336,10400,10552
1,16,10064,9968,10136,10336,10400,10552
1,17,10064,9968,10136,10336,10400,10552
1,18,10064,9968,10136,10336,10400,10552
1,19,10064,9968,10136,10336,10400,10552
1,20,10064,9968,10136,10336,10400,10552
1,21,10064,9968,10136,10336,10400,10552
1,22,10064,9968,10136,10336,10400,10552
1,23,10064,9968,10136,10336,10400,10552
1,24,9816,10104,10192,10488,10576,10688
1,25,6536,6640,6736,6880,6944,7072
1,26,9816,10128,10192,10488,10584,10688
1,27,25720,53264,78472,98232,112376,129280
1,28,9816,10128,10192,10360,10584,10688
1,29,9696,10008,10056,10344,10488,10688
1,30,9816,10104,10192,10488,10584,10688
1,31,6536,6640,6736,6880,6944,7072
1,32,10096,10120,10328,10488,10584,10816
1,33,10224,10248,10328,10488,10576,10944
1,34,9688,9968,10176,10560,10448,10816
1,35,17536,20592,26416,36984,47032,65592
1,36,9920,9880,9928,10344,10488,10680
1,37,10216,10336,10488,10608,10968,11320
1,38,9928,10000,9936,10344,10448,10688
1,39,10224,10248,10328,10480,10576,10944
1,40,10064,9968,10136,10336,10400,10552
1,41,10064,9968,10136,10336,10400,10552
1,42,10064,9968,10136,10336,10400,10552
1,43,10064,9968,10136,10336,10400,10552
