segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
0,0,5240,5240,5400,5496,5488,5584
0,1,5240,5240,5400,5496,5488,5584
0,2,5240,5240,5400,5496,5488,5584
0,3,5240,5240,5400,5496,5488,5584
0,4,5240,5240,5400,5496,5488,5584
0,5,5240,5240,5400,5496,5488,5584
0,6,5240,5240,5400,5496,5488,5584
0,7,5240,5240,5400,5496,5488,5584
0,8,5240,5240,5400,5496,5488,5584
0,9,5240,5240,5400,5496,5488,5584
0,10,5240,5240,5400,5496,5488,5584
0,11,5240,5240,5400,5496,5488,5584
0,12,5240,5240,5400,5496,5488,5584
0,13,5240,5240,5400,5496,5488,5584
0,14,5240,5240,5400,5496,5488,5584
0,15,5240,5240,5400,5496,5488,5584
0,16,5240,5240,5400,5520,5544,5664
0,17,5240,5240,5400,5496,5488,5584
0,18,5240,5240,5400,5496,5488,5584
0,19,5768,5784,5960,6064,6072,6176
0,20,5240,5240,5400,5496,5488,5584
0,21,8960,8976,9712,10008,10384,10656
0,22,5240,5240,5400,5496,5488,5584
0,23,5240,5240,5400,5496,5488,5584
0,24,31744,72616,113800,197248,286056,406728
0,25,23600,44344,67768,111120,155232,212800
0,26,32744,80912,139168,233360,336496,465408
0,27,48392,130992,227496,379192,534088,732448
0,28,47696,114824,193824,322480,450280,616312
0,29,32632,72360,120920,206712,301064,429160
0,30,25864,52912,82216,135128,189600,267536
0,31,31624,72912,117048,196960,283768,402904
0,32,37904,86432,138008,233288,336448,475504
0,33,30272,64424,102384,166240,236608,340008
0,34,39296,99184,163104,268288,380552,541128
0,35,53832,148976,253416,417656,589384,821016
0,36,50208,133280,226688,380464,540912,751736
0,37,39928,95192,157072,257656,365832,518584
0,38,30704,61304,96416,151944,214720,298880
0,39,30464,70096,111032,186632,267688,378680
0,40,8824,8984,9224,10224,10744,12160
0,41,5832,5848,6328,6472,6936,7992
0,42,8080,8360,9336,10848,12512,15416
0,43,8160,8400,9208,10080,11128,12632
0,44,8064,8504,9352,10912,12488,14936
0,45,7592,7904,8608,9600,10800,12416
0,46,5584,5592,5752,5880,6072,6360
0,47,5472,5480,5728,6008,6144,6312
0,48,5240,5240,5400,5496,5488,5584
0,49,5240,5240,5400,5496,5488,5584
0,50,5240,5240,5400,5496,5488,5584
0,51,5240,5240,5400,5496,5488,5584
0,52,5240,5240,5400,5496,5488,5584
0,53,5240,5240,5400,5496,5488,5584
0,54,5240,5240,5400,5496,5488,5584
0,55,5240,5240,5400,5496,5488,5584
0,56,5240,5240,5400,5496,5488,5584
0,57,5240,5240,5400,5496,5488,5584
0,58,5240,5240,5400,5496,5488,5584
0,59,5240,5240,5400,5496,5488,5584
0,60,5240,5240,5400,5496,5488,5584
0,61,5240,5240,5400,5496,5488,5584
0,62,5240,5240,5400,5496,5488,5584
0,63,5240,5240,5400,5496,5488,5584
1,0,10064,9968,10136,10336,10400,10552
1,1,10064,9968,10136,10336,10400,10552
1,2,10064,9968,10136,10336,10400,10552
1,3,10064,9968,10136,10336,10400,10552
1,4,10064,9968,10136,10336,10400,10552
1,5,10064,9968,10136,10336,10400,10552
1,6,10064,9968,10136,10336,10400,10552
1,7,10064,9968,10136,10336,10400,10552
1,8,10064,9968,10136,10336,10400,10552
1,9,10064,9968,10136,10336,10400,10552
1,10,10064,9968,10136,10336,10400,10552
1,11,10064,9968,10136,10336,10400,10552
1,12,10064,9968,10136,10336,10400,10552
1,13,10064,9968,10136,10336,10400,10552
1,14,10064,9968,10136,10336,10400,10552
1,15,10064,9968,10136,10336,10400,10552
1,16,10728,10888,11296,11528,11736,12536
1,17,10416,10248,11144,11512,11848,12512
1,18,9816,9760,9976,10672,10976,11344
1,19,9432,9528,9776,10072,10824,11896
1,20,9960,10104,10520,10976,11680,12032
1,21,6440,6872,6640,7616,8184,9032
1,22,10456,10736,10904,11576,11944,12304
1,23,10248,10344,10848,11672,11592,12168
1,24,40120,110576,189856,320688,443088,582200
1,25,30952,77136,134696,223680,293368,351144
1,26,28048,68704,118960,197248,270224,361176
1,27,38960,108440,188104,311128,434336,599184
1,28,38296,103664,180648,294712,407592,551896
1,29,29832,77704,136752,229616,328784,445128
1,30,31928,80776,135560,227952,314264,398232
1,31,40848,111088,187584,312688,437312,576248
1,32,41072,123384,207808,352168,491656,682600
1,33,32608,95432,160504,270272,382960,521552
1,34,39456,104960,180840,301904,426600,577968
1,35,47528,133664,228096,376240,533728,729224
1,36,41968,116744,201424,338144,483376,680128
1,37,39336,109400,190136,325528,460160,640488
1,38,32336,84376,138936,231912,322616,457448
1,39,35808,101728,171384,285608,402816,537120
1,40,9880,10256,11528,14320,18184,24152
1,41,10872,11032,12456,14096,16240,21344
1,42,11184,11904,13424,16640,20528,28936
1,43,12520,13336,16520,23168,32296,42736
